place_name,category,google_rating
야마짱 후쿠오카 텐진점,라멘,4.3
야키니쿠 보우야 후쿠오카 원빌딩점,야키니쿠/고기,4.7
야키니쿠 하나비,야키니쿠/고기,4.8
야키니쿠 호르몬 타케다 다이묘점,야키니쿠/고기,4.6
야키야키미와,일식,4.5
야키토리 마코토짱,야키니쿠/고기,4.3
야키토리 카곤마 하카타역 동부 본점,이자카야,4.6
야키토리 코케코,야키니쿠/고기,4.9
야키토리 쿠루리,야키니쿠/고기,4.7
야키토리 토리쇼우,야키니쿠/고기,4.4
야키토리 하레루야,야키니쿠/고기,4.9
야타이 라멘 신류,라멘,4.2
에덴 하루요시점,야키니쿠/고기,4.3
에비스야 우동,일식,4.4
에스프레소,카페,4.5
오사카나토 소멘 이자카야 신,이자카야,4.8
오오시게 쇼쿠도 이마이즈미점,라멘,4.3
오코노미야키 타쿠미짱,일식,4.4
오호리 우나기,일식,4.8
와라야키 미깡,이자카야,4.3
왕교자,라멘,4.4
요시즈카 우나기야,일식,4.4
요코미치,야키니쿠/고기,4.5
우나리 라멘 나카스점,라멘,4.2
우동 타이라,일식,4.4
우라텐진의 렌 이자카야,이자카야,4.7
우메보시,이자카야,4.2
우오츄,일식바,4.8
데이즈 컵 카페,카페,4.6
라멘 39번지,라멘,4.4
라멘 나오토,라멘,4.3
원조 모츠나베 라쿠텐지 하카타 역앞점,일식,4.8
원조 모츠나베 라쿠텐치 텐진본점,일식,4.7
원조 아카노렌 셋짱 라멘 본점,라멘,4.1
원조 피카이치 하카타본점,기타,4.0
원조라멘 나가하마케,라멘,4.1
이나바쵸 잇케이,일식,4.6
이노야 시로가네,이자카야,4.6
이오리,야키니쿠/고기,4.4
이자카야 나루토,이자카야,4.0
이자카야 오야지,이자카야,4.9
이자카야 와다치,이자카야,4.5
이자카야 쿠루미치,이자카야,4.3
이자카야 호수,이자카야,4.8
이치고야,이자카야,4.6
이치란 본사 총본점,라멘,4.2
이치란 캐널시티 하카타점,라멘,4.1
이치란 텐진 니시도리점,라멘,4.1
이치란 텐진점,라멘,4.4
이치란 하카타점,라멘,4.2
이토오카시,일식,4.4
일본 소바 쵸쥬로,일식,4.5
잇푸도 라멘 다이묘 본점,라멘,4.2
잇푸도 라멘 하카타역점,라멘,4.1
재즈앤카페 백스테이지,카페,4.6
중화 이자카야 후쿠오카 하루마키 브루 야쿠인점,이자카야,4.7
쵸우야,야키니쿠/고기,4.6
치카에,일식,4.3
친푼칸푼 하카타점,이자카야,4.5
카루비테이,야키니쿠/고기,4.9
카본 커피,카페,4.5
카와타로 나카스본점,일식,4.1
카이센동 히노데,일식,4.2
카페 델 솔,카페,4.1
캇포 요시다,일식,4.3
커넥트 커피,카페,4.4
커비카페 하카타,카페,4.1
커피맨,카페,4.5
커피카운티 후쿠오카점,카페,4.6
코우짱라멘 하카타본점,라멘,4.3
코히 훗코,카페,4.5
코히비미,카페,4.5
코히샤 노다,카페,4.3
쿠이신보 마츠무라,일식,4.5
키와미,라멘,4.0
키와미야 함바그 파르코 후쿠오카점,야키니쿠/고기,4.3
킷사 베니스,카페,4.8
타이호라멘 텐진,라멘,4.0
타츠미 스시,스시,4.2
타케토라,이자카야,4.8
텐진호르몬 하카타역점,야키니쿠/고기,4.0
텐푸라 히라오 본점,일식,4.4
텐푸라토사카나 우미노 | 이자카야 텐진,이자카야,3.8
텟페이,이자카야,4.2
토로 사바 · 모츠 냄비 선술집 아킨도 후쿠오카 하카타 본점,이자카야,4.7
토리돈 하루요시점,이자카야,4.0
토리마부시,야키니쿠/고기,4.1
토리메로 텐진니시도리 / 야키토리 이자카야,이자카야,4.2
토리카와 중화소바 카와노소바,라멘,4.7
토마토라멘 산미(333) 텐진다이묘 중심점,라멘,4.6
토이치 스미요시점,야키니쿠/고기,4.2
하가쿠레 우동,일식,4.4
하루요시 라멘,라멘,4.5
하루요시 쇼쿠도,이자카야,4.3
하마쇼지,이자카야,4.3
하이볼바 나카스 1923,이자카야,4.3
하카타 겐키 잇빠이!!,라멘,3.7
하카타 다루마 총본점,라멘,4.0
하카타 멘카이도,라멘,4.2
하카타 모츠나베 마에다야 총본점,일식,4.6
하카타 모츠나베 오오야마 본점,일식,4.5
하카타 아카쵸코베,일식,4.2
하카타 옷쇼이,이자카야,4.4
하카타 이자카야 도겐카이,이자카야,4.1
하카타 잇소우 기온점,라멘,3.8
하카타 잇소우 나카스점,라멘,4.0
하카타 잇소우 본점,라멘,4.0
하카타 잇코샤 총본점,라멘,4.1
하카타 카와바타 도산코,라멘,4.2
하카타 칸베에 기온테이,이자카야,4.4
하카타 코부시 (Hakata Kobushi),이자카야,4.6
하카타 토리카와야키 구,야키니쿠/고기,4.5
하카타라멘,라멘, 0.0
하카타라멘 신신 KITTE하카타점,라멘,4.1
하카타라멘 하카타야 카와바타점,라멘,4.1
하카타라멘 하카타야 카타카스점,라멘,4.0
하카타몬,이자카야,4.7
하카타사카바 소루리바,이자카야,4.4
하카타요리 타에몬,이자카야,4.6
하카타호타루,이자카야,4.2
하카탄사카나야고로,이자카야,4.6
한국바 코리안바 Korean bar Style コリアンバー,바,4.7
핫짱라멘,라멘,4.1
호마치아메 코히,카페,4.5
화이트글래스커피 후쿠오카점,카페,4.3
후글렌 후쿠오카,카페
후쿠짱 라멘,라멘,4.4
후톤라멘,라멘,4.5
히노데 하카타점,일식,4.3
히데짱라멘 톤보점,라멘,3.9
히로시마오코노미야키 오카짱,일식,4.6
히이라기,카페,4.7
히토쿠치 교자 타케토라,이자카야,4.8
J A B,카페,4.6
